District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
BAY,NORTH BAY HAVEN CAREER ACADEMY,30.23513,-85.59588,847,44,11,12,18,9,323,141,280,158
BAY,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,30.23513,-85.59588,524,52,11,6,17,1,334,137,385,97
BAY,PALM BAY PREPARATORY ACADEMY 6-12,30.19223,-85.69793,355,62,7,6,5,0,93,43,55,23
BREVARD,ODYSSEY CHARTER SCHOOL,27.95404,-80.65795,1447,176,26,17,40,14,545,217,623,220
BROWARD,AVANT GARDE ACADEMY OF BROWARD,26.02524,-80.14831,578,57,8,6,11,1,236,119,252,50
BROWARD,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,26.03141,-80.37321,2113,167,50,20,49,31,1010,249,730,501
BROWARD,CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL,25.99402,-80.39356,1332,112,50,27,53,17,1108,386,1100,367
BROWARD,CORAL SPRINGS CHARTER SCHOOL,26.27084,-80.24844,1664,199,51,29,57,19,872,301,781,345
BROWARD,FRANKLIN ACADEMY COOPER CITY,26.03993,-80.31296,1336,82,25,8,23,5,646,123,616,171
BROWARD,FRANKLIN ACADEMY F,26.05557,-80.42700,691,57,12,13,18,2,373,160,400,152
BROWARD,FRANKLIN ACADEMY PEMBROKE PINES,26.00634,-80.39929,1392,62,18,8,21,3,748,153,771,253
BROWARD,FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL,26.05557,-80.42700,799,66,16,6,11,11,288,124,182,125
BROWARD,FRANKLIN ACADEMY SUNRISE,26.18049,-80.28734,1374,121,34,10,41,10,621,126,630,143
BROWARD,RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES,26.00914,-80.28640,453,51,10,6,21,2,225,117,335,37
BROWARD,RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,26.27227,-80.20748,1509,103,20,8,18,5,630,112,617,181
BROWARD,RENAISSANCE CHARTER SCHOOL AT PLANTATION,26.13915,-80.23791,864,72,9,7,14,1,228,64,267,46
BROWARD,RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,26.22656,-80.25417,1427,80,16,6,27,5,599,120,634,178
BROWARD,SOMERSET ACADEMY CHARTER HIGH,26.01818,-80.42597,1034,67,17,8,20,8,443,156,368,196
