District,School,School Name,prop,funds
01,0950,THE ONE ROOM SCHOOL HOUSE PROJECT,0.06363636363636363,7410
01,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",0.06132075471698113,6178
01,0953,CARING & SHARING LEARNING SCHOOL,0.0,6006
01,0956,EXPRESSIONS LEARNING ARTS ACADEMY,0.0,6564
01,0957,ALACHUA LEARNING ACADEMY ELEMENTARY,0.0,4799
01,0958,GENESIS PREPARATORY SCHOOL,0.0,6897
01,0961,MICANOPY  ACADEMY,0.14285714285714285,2506
01,0981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,0.0,5839
01,0991,SIATECH AT GAINESVILLE,0.13903743315508021,6672
01,1003,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,0.21212121212121213,4859
01,1011,ALACHUA LEARNING ACADEMY MIDDLE,0.0,5849
01,1012,BOULWARE SPRINGS CHARTER,0.0880503144654088,6924
01,1013,RESILIENCE CHARTER SCHOOL INC,0.12941176470588237,9979
03,0701,BAY HAVEN CHARTER ACADEMY,0.11328125,6051
03,0711,BAY HAVEN CHARTER MIDDLE SCHOOL,0.05387931034482758,5610
03,0731,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,0.09923664122137404,5293
03,0741,NORTH BAY HAVEN CAREER ACADEMY,0.05194805194805195,5360
03,0751,NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,0.11637931034482758,6295
03,0771,PALM BAY PREPARATORY ACADEMY 6-12,0.17464788732394365,6255
03,0782,CENTRAL HIGH SCHOOL,0.17676767676767677,6503
03,0801,PALM BAY ELEMENTARY SCHOOL,0.112,8522
03,2701,RISING LEADERS ACADEMY,0.057971014492753624,7290
03,2711,UNIVERSITY ACADEMY SABL INC,0.10889570552147239,6902
05,6501,PALM BAY ACADEMY CHARTER SCHOOL,0.1657754010695187,7274
05,6507,ODYSSEY CHARTER SCHOOL,0.1216309606081548,6799
05,6508,SCULPTOR CHARTER SCHOOL,0.15009041591320071,6195
05,6509,ROYAL PALM CHARTER SCHOOL,0.14328358208955225,7700
05,6511,EDUCATIONAL HORIZONS CHARTER,0.0967741935483871,7449
05,6515,IMAGINE SCHOOLS AT WEST MELBOURNE,0.13926940639269406,11520
05,6523,EMMA JEWEL CHARTER ACADEMY,0.18487394957983194,7032
05,6540,VIERA CHARTER SCHOOL,0.0777988614800759,6267
05,6541,ODYSSEY PREPARATORY CHARTER ACADEMY,0.15555555555555556,7255
05,6543,PINEAPPLE COVE CLASSICAL ACADEMY,0.11627906976744186,7430
05,6546,LEGACY ACADEMY CHARTER,0.17094017094017094,7325
05,6554,PINEAPPLE COVE CLASSICAL ACADEMY AT WEST MELBOURNE,0.0759493670886076
06,5001,BEN GAMLA CHARTER SCHOOL NORTH CAMPUS,0.0,7502
06,5002,SOMERSET ACADEMY VILLAGE CHARTER MIDDLE SCHOOL,0.11920529801324503,7036
06,5003,SOMERSET PREPARATORY ACADEMY CHARTER SCHOOL AT NORTH LAUDERDALE,0.07180851063829788,7203
06,5004,SOMERSET VILLAGE ACADEMY,0.09349593495934959,7619
06,5006,SOMERSET PREPARATORY ACADEMY CHARTER HIGH AT NORTH LAUDERDALE,0.06923076923076923,5212
06,5007,SOMERSET ACADEMY CHARTER HIGH SCHOOL MIRAMAR CAMPUS,0.06315789473684211,6739
06,5009,ANDREWS HIGH SCHOOL,0.09271523178807947,6264
06,5010,FRANKLIN ACADEMY SUNRISE,0.08806404657933042,7152
06,5012,FRANKLIN ACADEMY PEMBROKE PINES,0.04454022988505747,7072
06,5014,RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES,0.11258278145695365,6390
06,5015,AVANT GARDE ACADEMY K-8 BROWARD,0.05412156536219817,7326
06,5020,RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,0.0682571239231279,6975
06,5021,SOMERSET NEIGHBORHOOD SCHOOL,0.06513409961685823,7325
06,5023,RENAISSANCE CHARTER SCHOOL AT PLANTATION,0.08333333333333333,10281
06,5024,IMAGINE SCHOOLS AT BROWARD,0.09665871121718377,7237
06,5028,ACADEMIC SOLUTIONS HIGH SCHOOL,0.16111111111111112,5976
06,5029,ATLANTIC MONTESSORI CHARTER SCHOOL,0.0,7429
06,5030,SOMERSET PINES ACADEMY,0.07494145199063232,7649
06,5031,CHARTER SCHOOL OF EXCELLENCE,0.0924092409240924,7963
06,5037,FRANKLIN ACADEMY COOPER CITY,0.061377245508982034,5995
06,5038,BROWARD MATH AND SCIENCE SCHOOLS,0.053125,7004
06,5041,CENTRAL CHARTER SCHOOL,0.05841325196163906,14788
06,5044,IMAGINE SCHOOLS PLANTATION  CAMPUS,0.11538461538461539,6971
06,5046,FRANKLIN ACADEMY F,0.0824891461649783,7010
06,5048,RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,0.05606166783461808,8149
06,5049,RENAISSANCE CHARTER SCHOOL AT COOPER CITY,0.058381984987489574,6399
06,5051,PEMBROKE PINES CHARTER ELEMENTARY SCHOOL,0.10005211047420531,7431
06,5052,WEST BROWARD ACADEMY,0.07103825136612021,7104
06,5054,SOMERSET ACADEMY MIRAMAR SOUTH,0.0,6132
06,5060,SUNFIRE HIGH SCHOOL,0.12534059945504086,5959
06,5081,CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL,0.08408408408408409,8154
06,5091,CORAL SPRINGS CHARTER SCHOOL,0.11959134615384616,7634
06,5111,IMAGINE CHARTER SCHOOL AT WESTON,0.060767590618336885,7499
06,5116,BRIDGEPREP ACADEMY OF HOLLYWOOD HILLS,0.05211726384364821,8573
06,5121,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,0.07903454803596782,7656
06,5130,GREENTREE PREPARATORY CHARTER SCHOOL,0.0,8840
06,5141,SOMERSET ACADEMY,0.06944444444444445,7171
06,5142,FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL,0.08260325406758448,8225
06,5151,SOMERSET ACADEMY MIDDLE SCHOOL,0.08744394618834081,7255
06,5161,NORTH BROWARD ACADEMY OF EXCELLENCE,0.08187134502923976,7527
06,5164,ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS,0.08666666666666667,7840
06,5171,IMAGINE CHARTER SCHOOL AT NORTH LAUDERDALE ELEMENTARY,0.09951845906902086,7912
06,5177,INNOVATION CHARTER SCHOOL,0.05133928571428571,6482
06,5182,THE BEN GAMLA PREPARATORY ACADEMY,0.08130081300813008,6587
06,5209,ASCEND CAREER ACADEMY,0.19298245614035087,7004
06,5211,SOMERSET ACADEMY DAVIE CHARTER SCHOOL,0.08666666666666667,7459
06,5215,CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL,0.0,7086
06,5219,CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL,0.1282051282051282,8305
06,5221,SOMERSET ACADEMY CHARTER HIGH,0.06479690522243714,7315
06,5224,SOMERSET ACADEMY KEY CHARTER HIGH SCHOOL,0.13215859030837004,9217
06,5233,ACADEMIC SOLUTIONS ACADEMY A,0.1326530612244898,3799
06,5234,CHAMPIONSHIP ACADEMY OF DISTINCTION OF WEST BROWARD,0.0744336569579288,7182
06,5238,BRIDGEPREP ACADEMY BROWARD COUNTY,0.05362776025236593,7049
06,5263,SOMERSET ACADEMY ELEMENTARY SOUTH CAMPUS,0.03690036900369004
06,5271,CHARTER SCHOOL OF EXCELLENCE AT DAVIE,0.03353658536585366,7400
06,5325,HOLLYWOOD ACADEMY OF ARTS & SCIENCE,0.05225225225225225,6700
06,5355,EAGLES NEST CHARTER ACADEMY,0.05249343832020997,7044
06,5356,EAGLES NEST MIDDLE CHARTER SCHOOL,0.0,5823
06,5361,CHAMPIONSHIP ACADEMY OF DISTINCTION AT HOLLYWOOD,0.03597122302158273,8922
06,5362,HOLLYWOOD ACADEMY OF ARTS AND SCIENCE MIDDLE SCHOOL,0.051685393258426963,5484
06,5371,NORTH BROWARD ACADEMY OF EXCELLENCE MIDDLE,0.07102272727272728,6939
06,5381,PARAGON ACADEMY OF TECHNOLOGY,0.18439716312056736,6656
06,5387,SOMERSET ACADEMY RIVERSIDE,0.0
06,5388,SOMERSET ACADEMY POMPANO (K-5),0.08695652173913043,8180
06,5391,SOMERSET ACADEMY EAST PREPARATORY,0.0,7779
06,5392,BEN GAMLA CHARTER SCHOOL SOUTH BROWARD,0.07418397626112759,7535
06,5393,EXCELSIOR CHARTER OF BROWARD,0.06666666666666667,5329
06,5396,SOMERSET ARTS CONSERVATORY,0.0,8988
06,5400,SUNSHINE ELEMENTARY CHARTER SCHOOL,0.14057507987220447,7690
06,5405,SOMERSET ACADEMY ELEMENTARY (MIRAMAR CAMPUS),0.052123552123552123,7816
06,5406,SOMERSET ACADEMY MIDDLE (MIRAMAR CAMPUS),0.0671462829736211,6210
06,5407,EVEREST CHARTER SCHOOL,0.07936507936507936,7011
06,5409,KIDZ CHOICE CHARTER SCHOOL,0.0,8565
06,5410,BEN GAMLA CHARTER SCHOOL,0.09125475285171103,7843
06,5413,SOMERSET ACADEMY KEY MIDDLE SCHOOL,0.08705882352941176,6432
06,5416,INTERNATIONAL SCHOOL OF BROWARD,0.0,8714
06,5419,SOMERSET ACADEMY RIVERSIDE CHARTER MIDDLE SCHOOL,0.0,5504
06,5420,RISE ACADEMY SCHOOL OF SCIENCE AND TECHNOLOGY,0.038338658146964855,7786
06,5421,ALPHA INTERNATIONAL ACADEMY,0.0,7604
06,5422,CHAMPIONSHIP ACADEMY OF DISTINCTION AT DAVIE,0.04830053667262969,7606
06,5441,SOMERSET PREPARATORY CHARTER MIDDLE SCHOOL,0.05982905982905983,6849
06,5481,SUNRISE HIGH SCHOOL,0.14184397163120568,6552
06,5710,RENAISSANCE CHARTER SCHOOLS AT PINES,0.060353798126951096,7643
06,5717,SOUTH BROWARD MONTESSORI CHARTER SCHOOL,0.0,8062
06,5791,AVANT GARDE ACADEMY OF BROWARD,0.0986159169550173,6756
06,5801,PANACEA PREP CHARTER SCHOOL,0.0,6754
06,5852,NEW LIFE CHARTER ACADEMY,0.0,6957
06,5861,SUNED HIGH SCHOOL OF NORTH BROWARD,0.22508038585209003,6687
08,0502,FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,0.02956989247311828,4540
08,0503,BABCOCK NEIGHBORHOOD SCHOOL,0.07058823529411765,13271
09,0215,ACADEMY OF ENVIRONMENTAL SCIENCE,0.0
10,0663,FLORIDA CYBER CHARTER ACADEMY AT CLAY,0.12790697674418605,9295
10,0664,CLAY CHARTER ACADEMY,0.13321799307958476,7750
10,0667,ST JOHNS CLASSICAL ACADEMY,0.125,6516
11,9018,MARCO ISLAND CHARTER MIDDLE,0.14588859416445624,8218
11,9021,IMMOKALEE COMMUNITY SCHOOL,0.14522821576763487,10032
11,9032,MARCO ISLAND ACADEMY,0.11160714285714286,10972
11,9034,GULF COAST CHARTER ACADEMY SOUTH,0.08948194662480377,7838
11,9035,MASON CLASSICAL ACADEMY,0.051224944320712694,6449
11,9036,COLLIER CHARTER ACADEMY,0.07933884297520662,42808
11,9037,BRIDGEPREP ACADEMY COLLIER,0.09565217391304348
12,0402,BELMONT ACADEMY,0.06693711967545639,6574
13,0070,CORAL REEF MONTESSORI ACADEMY CHARTER,0.09393346379647749,11157
13,0072,SUMMERVILLE ADVANTAGE ACADEMY,0.043478260869565216,7760
13,0100,MATER ACADEMY,0.03842869342442357,7231
13,0102,MIAMI COMMUNITY CHARTER SCHOOL,0.06049149338374291,7612
13,0312,MATER GARDENS ACADEMY,0.026359143327841845,8276
13,0332,SOMERSET ACADEMY (SILVER PALMS),0.02944507361268403,7173
13,0339,SOMERSET ACADEMY CHARTER ELEMENTARY SCHOOL (SOUTH HOMESTEAD),0.10074626865671642,6638
13,0342,PINECREST ACADEMY (SOUTH CAMPUS),0.03595206391478029,7421
13,0400,RENAISSANCE ELEMENTARY CHARTER SCHOOL,0.052805280528052806,6494
13,0410,ACADEMIR CHARTER SCHOOL WEST,0.025848142164781908,8327
13,0510,ARCHIMEDEAN ACADEMY,0.03317535545023697,8198
13,0520,SOMERSET ACADEMY CHARTER,0.045779685264663805,7204
13,0600,PINECREST PREPARATORY ACADEMY,0.02564102564102564,7560
13,0950,AVENTURA CITY OF EXCELLENCE SCHOOL,0.05365853658536585,9238
13,1000,TRUE NORTH CLASSICAL ACADEMY,0.044642857142857144,8497
13,1010,THE CHARTER SCHOOL AT WATERSTONE,0.05945945945945946,8039
13,1014,HIGHLY INQUISITIVE AND VERSATILE EDUCATION (HIVE) PREPARATORY SCHOOL,0.056164383561643834,7856
13,1015,ACADEMIR CHARTER SCHOOL PREPARATORY,0.06352941176470588,5261
13,1017,MATER ACADEMY OF INTERNATIONAL STUDIES,0.03231939163498099,7766
13,1020,YOUTH CO-OP CHARTER SCHOOL,0.024134312696747113,7804
13,2002,ACADEMIR PREPARATORY ACADEMY,0.022727272727272728,7961
13,2003,BRIDGEPREP ACADEMY SOUTH,0.0423861852433281,7289
13,2004,ISAAC: INTEGRATED SCIENCE AND ASIAN CULTURE ACADEMY,0.0,6982
13,2007,SOMERSET ACADEMY ELEMENTARY SCHOOL SOUTH MIAMI CAMPUS,0.0,6904
13,2012,SOMERSET ARTS ACADEMY,0.05432098765432099,7575
13,2013,BRIDGEPREP ACADEMY OF GREATER MIAMI,0.03275109170305677,7694
13,2031,PINECREST GLADES ACADEMY,0.051560379918588875,7275
13,2060,THEODORE R. AND THELMA A. GIBSON CHARTER SCHOOL,0.06493506493506493,10539
13,3000,MATER INTERNATIONAL ACADEMY,0.0,6265
13,3002,DOWNTOWN DORAL CHARTER ELEMENTARY SCHOOL,0.021052631578947368,6892
13,3026,DORAL INTERNATIONAL ACADEMY OF MATH AND SCIENCE,0.03611738148984198,7189
13,3027,ADVANTAGE ACADEMY OF MATH AND SCIENCE AT WATERSTONE,0.0,6820
13,3029,DORAL ACADEMY OF TECHNOLOGY,0.0,4867
13,3030,DORAL ACADEMY,0.04757281553398058,7633
13,3032,PALM GLADES PREPARATORY ACADEMY,0.10393258426966293,6688
13,3033,SOMERSET OAKS ACADEMY,0.10260869565217391,7682
13,3034,BRIDGEPREP ACADEMY OF VILLAGE GREEN,0.048295454545454544,7804
13,3100,MATER ACADEMY EAST CHARTER,0.045174537987679675,8982
13,3600,DOWNTOWN MIAMI CHARTER SCHOOL,0.05501618122977346,8704
13,3610,KEYS GATE CHARTER SCHOOL,0.08730556949322629,8889
13,4000,MIAMI CHILDREN'S MUSEUM CHARTER SCHOOL,0.04452054794520548,7681
13,4002,BEACON COLLEGE PREPARATORY,0.03110047846889952,7898
13,4010,MATER ACADEMY BAY ELEMENTARY,0.02465331278890601,8205
13,4012,SOMERSET ACADEMY AT SILVER PALMS,0.0,7602
13,4037,SOMERSET ACADEMY KENDALL,0.0
13,4050,BRIDGEPREP ACADEMY OF NORTH MIAMI BEACH,0.02178217821782178
13,5002,SOMERSET PREPARATORY ACADEMY SUNSET,0.05454545454545454,6973
13,5006,EVERGLADES PREPARATORY ACADEMY,0.06041666666666667,6852
13,5007,LINCOLN-MARTI CHARTER SCHOOL HIALEAH CAMPUS,0.05387205387205387,9599
13,5008,SOMERSET GABLES ACADEMY,0.042283298097251586,7379
13,5015,SOMERSET PALMS ACADEMY,0.0
13,5020,BRIDGEPREP ACADEMY INTERAMERICAN CAMPUS,0.0,8665
13,5022,BEN GAMLA CHARTER SCHOOL,0.0398406374501992,7516
13,5025,LINCOLN-MARTI CHARTER SCHOOL LITTLE HAVANA CAMPUS,0.02774108322324967,7215
13,5029,EXCELSIOR LANGUAGE ACADEMY OF HIALEAH,0.06190476190476191,7775
13,5032,EXCELSIOR CHARTER ACADEMY,0.04008438818565401,7245
13,5043,LINCOLN-MARTI SCHOOLS INTERNATIONAL CAMPUS,0.0,8374
13,5044,ACADEMY FOR INTERNATIONAL EDUCATION CHARTER SCHOOL,0.051829268292682924,6458
13,5045,MATER GROVE ACADEMY,0.04431818181818182,6619
13,5046,MATER BRICKELL PREPARATORY ACADEMY,0.0,5264
13,5047,MATER ACADEMY MIAMI BEACH,0.028419182948490232,7147
13,5048,PINECREST ACADEMY (NORTH CAMPUS),0.02834008097165992,7168
13,5049,PINECREST COVE ACADEMY,0.01795142555438226,6640
13,5054,MATER ACADEMY AT MOUNT SINAI,0.0,6953
13,5062,SOMERSET ACADEMY BAY,0.036231884057971016,1805
13,5384,IMATER ACADEMY,0.0626865671641791,7044
13,5410,ALPHA CHARTER OF EXCELLENCE,0.031446540880503145,8126
13,6004,SOMERSET ACADEMY CHARTER MIDDLE SCHOOL,0.04044117647058824,7206
13,6006,ARCHIMEDEAN MIDDLE CONSERVATORY,0.0,7283
13,6009,MATER EAST ACADEMY MIDDLE SCHOOL,0.0,11044
13,6012,MATER ACADEMY CHARTER MIDDLE,0.022321428571428572,7141
13,6013,SOMERSET ACADEMY CHARTER MIDDLE SCHOOL (SOUTH HOMESTEAD),0.07457627118644068,7156
13,6014,IMATER ACADEMY MIDDLE SCHOOL,0.0380952380952381,7205
13,6015,SPORTS LEADERSHIP AND MANAGEMENT (SLAM) CHARTER MIDDLE SCHOOL,0.049707602339181284,8363
13,6018,THE SEED SCHOOL OF MIAMI,0.09056603773584905,40711
13,6020,ASPIRA RAUL ARNALDO MARTINEZ CHARTER SCHOOL,0.055,7811
13,6022,PINECREST ACADEMY CHARTER MIDDLE SCHOOL,0.033073929961089495,5986
13,6024,SPORTS LEADERSHIP AND MANAGEMENT (SLAM) MIDDLE SCHOOL - NORTH CAMPUS,0.03717472118959108,12091
13,6028,RENAISSANCE MIDDLE CHARTER SCHOOL,0.07333333333333333,8357
13,6030,DORAL ACADEMY CHARTER MIDDLE SCHOOL,0.030716723549488054,6123
13,6032,MATER ACADEMY BAY MIDDLE SCHOOL,0.05116279069767442,9614
13,6033,MATER ACADEMY LAKES MIDDLE SCHOOL,0.0399529964747356,7281
13,6034,BEACON COLLEGE PREP  MIDDLE SCHOOL,0.0582010582010582
13,6040,DOCTORS CHARTER SCHOOL OF MIAMI SHORES,0.037606837606837605,6529
13,6042,MATER GARDENS ACADEMY MIDDLE SCHOOL,0.05913978494623656,7601
13,6045,INTERNATIONAL STUDIES CHARTER MIDDLE SCHOOL,0.0,7313
13,6047,MATER INTERNATIONAL PREPARATORY,0.0,5942
13,6048,MIAMI COMMUNITY CHARTER MIDDLE SCHOOL,0.0,7100
13,6053,SOMERSET ACADEMY CHARTER MIDDLE SCHOOL SOUTH MIAMI CAMPUS,0.0,6210
13,6057,PHOENIX ACADEMY OF EXCELLENCE NORTH,0.0
13,6060,ASPIRA LEADERSHIP AND COLLEGE PREPARATORY ACADEMY,0.06497175141242938,8700
13,6070,ASPIRA ARTS DECO CHARTER,0.10367170626349892,8109
13,6082,ACADEMIR CHARTER SCHOOL MIDDLE,0.05817174515235457,6688
13,6083,JUST ARTS AND MANAGEMENT CHARTER MIDDLE SCHOOL,0.06493506493506493,6014
13,6128,SOMERSET ACADEMY BAY MIDDLE SCHOOL,0.0,3513
13,7007,INTERNATIONAL STUDIES CHARTER HIGH SCHOOL,0.0,7822
13,7009,DORAL PERFORMING ARTS & ENTERTAINMENT ACADEMY,0.02481389578163772,6087
13,7014,MATER PERFORMING ARTS & ENTERTAINMENT ACADEMY,0.0,6974
13,7015,STELLAR LEADERSHIP ACADEMY,0.16,6852
13,7016,SPORTS LEADERSHIP OF MIAMI CHARTER HIGH SCHOOL,0.04225352112676056,8716
13,7018,MATER ACADEMY LAKES HIGH SCHOOL,0.02109375,6834
13,7020,DORAL ACADEMY CHARTER HIGH SCHOOL,0.03666666666666667,6999
13,7027,PINECREST GLADES PREPARATORY ACADEMY MIDDLE HIGH SCHOOL,0.06679764243614932,7943
13,7032,PALM GLADES PREPARATORY ACADEMY HIGH SCHOOL,0.08997429305912596,6924
13,7034,SOMERSET ACADEMY CHARTER HIGH SCHOOL (SOUTH HOMESTEAD),0.08333333333333333,7209
13,7037,MATER ACADEMY EAST CHARTER HIGH SCHOOL,0.0,10071
13,7042,SOMERSET ACADEMY CHARTER HIGH SCHOOL,0.051094890510948905,10403
13,7043,ARTS ACADEMY OF EXCELLENCE,0.0,14850
13,7044,DOWNTOWN DORAL CHARTER UPPER SCHOOL,0.0
13,7050,KEYS GATE CHARTER HIGH SCHOOL,0.10419161676646707,7501
13,7053,PINECREST PREPARATORY ACADEMY CHARTER HIGH SCHOOL,0.05091649694501019,6640
13,7058,MIAMI COMMUNITY CHARTER HIGH SCHOOL,0.06310679611650485,7075
13,7059,MIAMI ARTS CHARTER,0.04226227470478558,5277
13,7060,EVERGLADES PREPARATORY ACADEMY HIGH SCHOOL,0.08045977011494253,6723
13,7062,C. G. BETHEL HIGH SCHOOL,0.07600950118764846,6434
13,7065,CHAMBERS HIGH SCHOOL,0.1617933723196881,6292
13,7066,LATIN BUILDERS ASSOCIATION CONSTRUCTION AND BUSINESS MANAGEMENT ACADEMY,0.0,8906
13,7067,GREEN SPRINGS HIGH SCHOOL,0.11909262759924386,5564
13,7068,NORTH GARDENS HIGH SCHOOL,0.11726384364820847,6909
13,7069,NORTH PARK HIGH SCHOOL,0.1075,5538
13,7070,YOUTH CO-OP PREPARATORY HIGH SCHOOL,0.08928571428571429,7089
13,7080,CHARTER HIGH SCHOOL OF THE AMERICAS,0.0,8668
13,7090,IMATER PREPARATORY ACADEMY HIGH SCHOOL,0.031453362255965296,6978
13,7160,MATER ACADEMY CHARTER HIGH,0.026674570243034972,8056
13,7262,CITY OF HIALEAH EDUCATION ACADEMY,0.04287245444801715,6909
13,7265,ARCHIMEDEAN UPPER CONSERVATORY,0.0,8115
16,0471,LONE STAR HIGH SCHOOL,0.11654135338345864,6313
16,0531,DUVAL MYCROSCHOOL OF INTEGRATED ACADEMICS AND TECHNOLOGIES,0.16872427983539096,7075
16,1021,SCHOOL OF SUCCESS ACADEMY-SOS,0.15151515151515152,7178
16,1131,WAYMAN ACADEMY OF THE ARTS,0.11743772241992882,7823
16,1181,"SCHOOL FOR ACCELERATED LEARNING AND TECHNOLOGIES, INC",0.12195121951219512,8365
16,1201,RIVER CITY SCIENCE ACADEMY,0.05217391304347826,6116
16,1211,TIGER ACADEMY,0.12133891213389121,11694
16,1221,GLOBAL OUTREACH CHARTER ACADEMY,0.07804878048780488,7853
16,1231,DUVAL CHARTER SCHOLARS ACADEMY,0.1320754716981132,7967
16,1251,"SOMERSET ACADEMY-ELEMENTARY, EAGLE CAMPUS",0.0,10832
16,1261,"SOMERSET ACADEMY-MIDDLE, EAGLE CAMPUS",0.11811023622047244,6670
16,1271,KIPP VOICE / KIPP IMPACT K-8,0.12074829931972789,10676
16,1291,RIVER CITY SCIENCE ELEMENTARY ACADEMY,0.06126482213438735,6504
16,1311,DUVAL CHARTER HIGH SCHOOL AT BAYMEADOWS,0.12617702448210924,6384
16,1321,DUVAL CHARTER AT BAYMEADOWS,0.10545722713864307,6557
16,1331,WAVERLY ACADEMY,0.11,8103
16,1371,SEACOAST CHARTER ACADEMY,0.13082039911308205,7002
16,5371,FLORIDA CYBER CHARTER ACADEMY,0.08047493403693931,8557
16,5381,SAN JOSE PREPARATORY HIGH SCHOOL,0.11210762331838565,6763
