District Name,School Name,Lat,Long,Charter Total Students,Charter Total SWD,cpe,cps,cpm,cpsc,cte,cts,ctm,ctsc,Other Total Students,Other Total SWD,ope,ops,opm,opsc,ote,ots,otm,otsc
BAY,NORTH BAY HAVEN CAREER ACADEMY,30.23513,-85.59588,847,44,11,12,18,9,323,141,280,158,5522,961,163,118,172,55,1525,892,1321,669
BAY,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,30.23513,-85.59588,524,52,11,6,17,1,334,137,385,97,0,0,0,0,0,0,0,0,0,0
BAY,PALM BAY PREPARATORY ACADEMY 6-12,30.19223,-85.69793,355,62,7,6,5,0,93,43,55,23,6450,1046,163,94,187,76,2079,915,1993,816
BREVARD,ODYSSEY CHARTER SCHOOL,27.95404,-80.65795,1447,176,26,17,40,14,545,217,623,220,29709,4423,590,531,637,399,10392,6173,8489,5539
BROWARD,AVANT GARDE ACADEMY OF BROWARD,26.02524,-80.14831,578,57,8,6,11,1,236,119,252,50,4574,579,148,50,131,62,1531,686,1276,534
BROWARD,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,26.03141,-80.37321,2113,167,50,20,49,31,1010,249,730,501,1467,263,102,47,105,22,1044,404,1099,287
BROWARD,CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL,25.99402,-80.39356,1332,112,50,27,53,17,1108,386,1100,367,3730,472,100,66,96,45,1520,854,1274,601
BROWARD,CORAL SPRINGS CHARTER SCHOOL,26.27084,-80.24844,1664,199,51,29,57,19,872,301,781,345,10601,1345,233,185,246,103,4556,1976,4105,1722
BROWARD,FRANKLIN ACADEMY COOPER CITY,26.03993,-80.31296,1336,82,25,8,23,5,646,123,616,171,7016,820,152,108,157,92,2417,1264,1922,1046
BROWARD,FRANKLIN ACADEMY F,26.05557,-80.42700,691,57,12,13,18,2,373,160,400,152,8711,713,216,123,229,67,4783,1834,4387,1692
BROWARD,FRANKLIN ACADEMY PEMBROKE PINES,26.00634,-80.39929,1392,62,18,8,21,3,748,153,771,253,0,0,0,0,0,0,0,0,0,0
BROWARD,FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL,26.05557,-80.42700,799,66,16,6,11,11,288,124,182,125,0,0,0,0,0,0,0,0,0,0
BROWARD,FRANKLIN ACADEMY SUNRISE,26.18049,-80.28734,1374,121,34,10,41,10,621,126,630,143,5976,772,135,91,138,49,2076,1031,1958,735
BROWARD,RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES,26.00914,-80.28640,453,51,10,6,21,2,225,117,335,37,11805,1697,326,188,326,115,4634,2190,4225,1582
BROWARD,RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,26.27227,-80.20748,1509,103,20,8,18,5,630,112,617,181,13855,1942,276,213,300,144,4374,2426,4000,1712
BROWARD,RENAISSANCE CHARTER SCHOOL AT PLANTATION,26.13915,-80.23791,864,72,9,7,14,1,228,64,267,46,26232,3276,543,324,582,208,8962,4241,8091,3381
BROWARD,RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,26.22656,-80.25417,1427,80,16,6,27,5,599,120,634,178,5831,786,125,108,148,58,1664,1011,1582,728
BROWARD,SOMERSET ACADEMY CHARTER HIGH,26.01818,-80.42597,1034,67,17,8,20,8,443,156,368,196,0,0,0,0,0,0,0,0,0,0
BROWARD,SOMERSET ACADEMY KEY MIDDLE SCHOOL,26.30594,-80.09714,425,37,9,7,8,1,186,95,157,35,8142,1002,137,83,119,65,2204,1180,1784,853
BROWARD,SOMERSET ACADEMY MIDDLE SCHOOL,26.01578,-80.42573,892,78,40,20,33,8,656,269,615,175,2682,305,59,44,53,34,910,526,612,508
BROWARD,THE BEN GAMLA PREPARATORY ACADEMY,26.00944,-80.16134,492,40,8,2,11,7,208,77,181,120,7548,1038,109,77,111,56,1612,919,1386,609
CLAY,CLAY CHARTER ACADEMY,30.12307,-81.86014,578,77,8,6,17,3,176,44,193,46,17595,2950,522,507,586,368,6636,4292,5995,3926
COLLIER,MARCO ISLAND CHARTER MIDDLE,25.94070,-81.71030,377,55,17,15,27,4,252,117,307,62,23746,3059,504,369,732,247,8970,4680,8966,3899
MIAMI-DADE,ASPIRA ARTS DECO CHARTER,25.79493,-80.19431,463,48,1,3,6,0,115,77,186,48,4241,417,69,42,63,30,1366,612,1028,492
MIAMI-DADE,DORAL ACADEMY CHARTER HIGH SCHOOL,25.79795,-80.37517,1800,66,17,12,18,7,755,344,548,348,27274,3233,734,380,776,267,11209,4447,10068,3827
MIAMI-DADE,KEYS GATE CHARTER HIGH SCHOOL,25.45233,-80.43353,835,87,5,19,6,16,164,155,127,142,1669,198,33,7,38,8,434,90,414,143
