District Name,School Name,Lat,Long,Charter Count,Other Count,Charter Total,Other Total
ALACHUA,ALACHUA LEARNING ACADEMY ELEMENTARY,29.81371,-82.46464,0,878,112,5630
ALACHUA,BOULWARE SPRINGS CHARTER,29.67323,-82.30844,14,159,159,894
ALACHUA,CARING & SHARING LEARNING SCHOOL,29.63370,-82.31537,0,285,223,2590
ALACHUA,EXPRESSIONS LEARNING ARTS ACADEMY,29.60295,-82.34172,0,98,85,687
ALACHUA,GENESIS PREPARATORY SCHOOL,29.67345,-82.32709,0,222,72,705
ALACHUA,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,29.65431,-82.48666,0,646,99,4715
ALACHUA,"MICANOPY AREA COOPERATIVE SCHOOL, INC.",29.50483,-82.28985,13,359,212,2092
ALACHUA,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,29.67320,-82.33911,42,792,198,5638
ALACHUA,RESILIENCE CHARTER SCHOOL INC,29.66751,-82.31477,11,80,85,852
ALACHUA,SIATECH AT GAINESVILLE,29.66239,-82.41770,26,705,187,6209
ALACHUA,"THE EINSTEIN SCHOOL, INC.",29.60776,-82.40632,74,199,108,1998
ALACHUA,THE ONE ROOM SCHOOL HOUSE PROJECT,29.68986,-82.30665,14,720,220,2970
BAY,BAY HAVEN CHARTER ACADEMY,30.21328,-85.62665,87,1311,768,7229
BAY,CENTRAL HIGH SCHOOL,30.17984,-85.68071,35,97,198,679
BAY,NORTH BAY HAVEN CAREER ACADEMY,30.23513,-85.59588,44,2305,847,11141
BAY,PALM BAY ELEMENTARY SCHOOL,30.16958,-85.67481,42,822,375,3816
BAY,PALM BAY PREPARATORY ACADEMY 6-12,30.19223,-85.69793,62,1009,355,5697
BAY,RISING LEADERS ACADEMY,30.17685,-85.69124,12,178,207,443
BREVARD,EDUCATIONAL HORIZONS CHARTER,28.08599,-80.67194,12,2281,124,14973
BREVARD,EMMA JEWEL CHARTER ACADEMY,28.35104,-80.73946,66,2841,357,16781
BREVARD,IMAGINE SCHOOLS AT WEST MELBOURNE,28.04152,-80.65129,61,445,438,2358
BREVARD,LEGACY ACADEMY CHARTER,28.57083,-80.82472,40,1349,234,7003
BREVARD,ODYSSEY CHARTER SCHOOL,27.95404,-80.65795,176,400,1447,2475
BREVARD,ODYSSEY PREPARATORY CHARTER ACADEMY,27.94975,-80.63175,63,198,405,820
BREVARD,PALM BAY ACADEMY CHARTER SCHOOL,28.03466,-80.61072,93,1045,561,5423
BREVARD,PINEAPPLE COVE CLASSICAL ACADEMY,28.00579,-80.67216,70,1064,602,5373
BREVARD,PINEAPPLE COVE CLASSICAL ACADEMY AT WEST MELBOURNE,28.03740,-80.66264,36,273,474,1325
BREVARD,ROYAL PALM CHARTER SCHOOL,27.96747,-80.62430,48,98,335,478
BREVARD,SCULPTOR CHARTER SCHOOL,28.51934,-80.81522,83,775,553,4108
BREVARD,VIERA CHARTER SCHOOL,28.24985,-80.74065,82,839,1054,5506
BROWARD,ALPHA INTERNATIONAL ACADEMY,26.01030,-80.15405,0,97,90,787
BROWARD,ANDREWS HIGH SCHOOL,26.17112,-80.14503,28,693,302,4432
BROWARD,ASCEND CAREER ACADEMY,26.24457,-80.19691,44,176,228,989
BROWARD,ATLANTIC MONTESSORI CHARTER SCHOOL,26.00840,-80.27752,0,132,137,846
BROWARD,ATLANTIC MONTESSORI CHARTER SCHOOL WEST CAMPUS,26.08912,-80.31244,13,878,150,6073
BROWARD,AVANT GARDE ACADEMY K-8 BROWARD,26.02524,-80.14831,65,814,1201,5159
BROWARD,BEN GAMLA CHARTER SCHOOL SOUTH BROWARD,26.13606,-80.23598,25,269,337,1266
BROWARD,BRIDGEPREP ACADEMY BROWARD COUNTY,26.19997,-80.25040,17,401,317,3383
BROWARD,BRIDGEPREP ACADEMY OF HOLLYWOOD HILLS,26.02291,-80.19003,16,398,307,2439
BROWARD,CENTRAL CHARTER SCHOOL,26.18021,-80.20362,67,133,1147,995
BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION HIGH SCHOOL,26.16386,-80.19056,10,544,78,3859
BROWARD,CHAMPIONSHIP ACADEMY OF DISTINCTION MIDDLE SCHOOL,26.00044,-80.18973,0,74,228,699
BROWARD,CHARTER SCHOOL OF EXCELLENCE,26.10691,-80.14035,28,721,303,5174
BROWARD,CITY/PEMBROKE PINES CHARTER HIGH SCHOOL,26.03141,-80.37321,167,556,2113,2964
BROWARD,CITY/PEMBROKE PINES CHARTER MIDDLE SCHOOL,25.99402,-80.39356,112,699,1332,4833
BROWARD,CORAL SPRINGS CHARTER SCHOOL,26.27084,-80.24844,199,1094,1664,7082
BROWARD,EAGLES NEST CHARTER ACADEMY,26.14448,-80.19588,20,1331,381,8948
BROWARD,EAGLES NEST MIDDLE CHARTER SCHOOL,26.23357,-80.25268,0,387,56,1988
BROWARD,EVEREST CHARTER SCHOOL,26.20831,-80.29252,10,200,126,1639
BROWARD,FRANKLIN ACADEMY COOPER CITY,26.03993,-80.31296,82,749,1336,5009
BROWARD,FRANKLIN ACADEMY F,26.05557,-80.42700,57,785,691,9332
BROWARD,FRANKLIN ACADEMY SUNRISE,26.18049,-80.28734,121,951,1374,5632
BROWARD,GREENTREE PREPARATORY CHARTER SCHOOL,26.00992,-80.38736,0,246,158,992
BROWARD,HOLLYWOOD ACADEMY OF ARTS & SCIENCE,26.00997,-80.14145,58,90,1110,438
BROWARD,IMAGINE CHARTER SCHOOL AT NORTH LAUDERDALE ELEMENTARY,26.21015,-80.20553,62,122,623,808
BROWARD,IMAGINE CHARTER SCHOOL AT WESTON,26.13710,-80.42144,57,644,938,5057
BROWARD,IMAGINE SCHOOLS AT BROWARD,26.29991,-80.24763,81,1355,838,10935
BROWARD,IMAGINE SCHOOLS PLANTATION  CAMPUS,26.10425,-80.25724,42,1280,364,7227
BROWARD,INNOVATION CHARTER SCHOOL,26.22515,-80.13514,23,1039,448,7838
BROWARD,INTERNATIONAL SCHOOL OF BROWARD,26.03613,-80.23904,0,1182,93,5410
BROWARD,KIDZ CHOICE CHARTER SCHOOL,26.02441,-80.26484,0,149,175,555
BROWARD,NEW LIFE CHARTER ACADEMY,26.04735,-80.17536,0,600,158,4318
BROWARD,NORTH BROWARD ACADEMY OF EXCELLENCE,26.20523,-80.23925,56,123,684,591
BROWARD,PARAGON ACADEMY OF TECHNOLOGY,26.01529,-80.16461,26,138,141,533
BROWARD,PEMBROKE PINES CHARTER ELEMENTARY SCHOOL,25.99438,-80.28958,192,306,1919,1797
BROWARD,RENAISSANCE CHARTER MIDDLE SCHOOL AT PINES,26.00914,-80.28640,51,262,453,1258
BROWARD,RENAISSANCE CHARTER SCHOOL AT COOPER CITY,26.03365,-80.28059,70,763,1199,5822
BROWARD,RENAISSANCE CHARTER SCHOOL AT CORAL SPRINGS,26.27227,-80.20748,103,1236,1509,8824
BROWARD,RENAISSANCE CHARTER SCHOOL AT PLANTATION,26.13915,-80.23791,72,963,864,5924
BROWARD,RENAISSANCE CHARTER SCHOOL AT UNIVERSITY,26.22656,-80.25417,80,622,1427,4577
BROWARD,SOMERSET ACADEMY CHARTER HIGH SCHOOL MIRAMAR CAMPUS,25.99269,-80.26798,18,796,285,4776
BROWARD,SOMERSET ACADEMY DAVIE CHARTER SCHOOL,26.07516,-80.23171,13,1325,150,10487
