District,School Number,School Name, Total Est. Allocation , July , August , September , October
ALACHUA DSB ,10950,THE ONE ROOM SCHOOL HOUSE PROJECT,"  140,999 ","  11,739 ","  11,739 ","  11,751 ","  11,752 "
ALACHUA DSB ,10951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.","  110,761 ","  9,222 ","  9,221 ","  9,231 ","  9,232 "
ALACHUA DSB ,10953,CARING & SHARING LEARNING SCHOOL,"  129,517 ","  10,783 ","  10,783 ","  10,794 ","  10,795 "
ALACHUA DSB ,10955,"THE EINSTEIN SCHOOL, INC.","  83,680 ","  6,967 ","  6,967 ","  6,974 ","  6,975 "
ALACHUA DSB ,10956,EXPRESSIONS LEARNING ARTS ACADEMY,"  43,937 ","  3,658 ","  3,658 ","  3,662 ","  3,662 "
ALACHUA DSB ,10957,ALACHUA LEARNING ACADEMY ELEMENTARY,"  57,157 ","  4,759 ","  4,759 ","  4,763 ","  4,764 "
ALACHUA DSB ,10958,GENESIS PREPARATORY SCHOOL,"  43,931 ","  3,658 ","  3,657 ","  3,661 ","  3,662 "
ALACHUA DSB ,10961,MICANOPY ACADEMY,"  38,191 ","  3,180 ","  3,180 ","  3,183 ","  3,183 "
ALACHUA DSB ,10981,HEALTHY LEARNING ACADEMY CHARTER SCHOOL,"  51,209 ","  4,264 ","  4,263 ","  4,268 ","  4,268 "
ALACHUA DSB ,11003,NORTH CENTRAL FLORIDA PUBLIC CHARTER SCHOOL,"  129,963 ","  10,820 ","  10,820 ","  10,831 ","  10,832 "
ALACHUA DSB ,11011,ALACHUA LEARNING ACADEMY MIDDLE,"  27,154 ","  2,261 ","  2,261 ","  2,263 ","  2,263 "
ALACHUA DSB ,11012,BOULWARE SPRINGS CHARTER,"  103,165 ","  8,589 ","  8,589 ","  8,598 ","  8,599 "
ALACHUA DSB ,11013,RESILIENCE CHARTER SCHOOL INC,"  43,379 ","  3,612 ","  3,611 ","  3,615 ","  3,616 "
BAY DSB,30701,BAY HAVEN CHARTER ACADEMY,"  402,925 ","  33,546 ","  33,546 ","  33,580 ","  33,584 "
BAY DSB,30711,BAY HAVEN CHARTER MIDDLE SCHOOL,"  228,939 ","  19,061 ","  19,061 ","  19,080 ","  19,082 "
BAY DSB,30731,NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL,"  270,834 ","  22,549 ","  22,548 ","  22,571 ","  22,574 "
BAY DSB,30741,NORTH BAY HAVEN CAREER ACADEMY,"  423,453 ","  35,255 ","  35,255 ","  35,291 ","  35,295 "
BAY DSB,30751,NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL,"  357,431 ","  29,758 ","  29,758 ","  29,788 ","  29,792 "
BAY DSB,30771,PALM BAY PREPARATORY ACADEMY 6-12,"  168,265 ","  14,009 ","  14,009 ","  14,023 ","  14,025 "
BAY DSB,30781,CHAUTAUQUA CHARTER SCHOOL,"  36,851 ",  -   ,  -   ,  -   ,"  4,095 "
BAY DSB,30782,CENTRAL HIGH SCHOOL,"  84,094 ","  7,001 ","  7,001 ","  7,008 ","  7,009 "
BAY DSB,30801,PALM BAY ELEMENTARY SCHOOL,"  172,734 ","  14,381 ","  14,381 ","  14,396 ","  14,397 "
BAY DSB,32701,RISING LEADERS ACADEMY,"  100,014 ","  8,327 ","  8,327 ","  8,335 ","  8,336 "
BAY DSB,32711,UNIVERSITY ACADEMY SABL INC,"  326,734 ","  27,203 ","  27,202 ","  27,230 ","  27,233 "
BREVARD DSB,56501,PALM BAY ACADEMY CHARTER SCHOOL,"  349,074 ","  29,062 ","  29,062 ","  29,092 ","  29,095 "
BREVARD DSB,56507,ODYSSEY CHARTER SCHOOL,"  746,070 ","  62,115 ","  62,115 ","  62,177 ","  62,185 "
BREVARD DSB,56508,SCULPTOR CHARTER SCHOOL,"  284,617 ","  23,696 ","  23,696 ","  23,720 ","  23,723 "
BREVARD DSB,56509,ROYAL PALM CHARTER SCHOOL,"  174,011 ","  14,488 ","  14,487 ","  14,502 ","  14,504 "
BREVARD DSB,56511,EDUCATIONAL HORIZONS CHARTER,"  63,090 ","  5,253 ","  5,253 ","  5,258 ","  5,258 "
BREVARD DSB,56515,IMAGINE SCHOOLS AT WEST MELBOURNE,"  281,228 ","  23,414 ","  23,414 ","  23,438 ","  23,440 "
BREVARD DSB,56523,EMMA JEWEL CHARTER ACADEMY,"  227,231 ","  18,918 ","  18,918 ","  18,938 ","  18,940 "
BREVARD DSB,56540,VIERA CHARTER SCHOOL,"  545,102 ","  45,383 ","  45,383 ","  45,429 ","  45,434 "
BREVARD DSB,56541,ODYSSEY PREPARATORY CHARTER ACADEMY,"  264,619 ","  22,031 ","  22,031 ","  22,053 ","  22,056 "
