"District Number","District Name","School Number",School Name," State and Local Funds "," Federal Funds "," State, Local and Federal Funds "," State and Local Funds "," Federal
Funds "," State, Local and Federal Funds "," Total Costs - State, Local and Federal Funds Per Pupil "
01,Alachua,0031,J. J. FINLEY ELEMENTARY SCHOOL                                                                      ,"$7,747 ",$569 ,"$8,316 ",$380 ,$58 ,$438 ,"$8,754 "
01,Alachua,0041,STEPHEN FOSTER ELEMENTARY SCHOOL                                                                    ,"  8,178 ",  761 ,"  8,939 ",  399 ,  71 ,  470 ,"  9,409 "
01,Alachua,0071,LAKE FOREST ELEMENTARY SCHOOL                                                                       ,"  8,917 ","  1,173 ","  10,090 ",  333 ,  44 ,  377 ,"  10,467 "
01,Alachua,0091,LITTLEWOOD ELEMENTARY SCHOOL                                                                        ,"  7,668 ",  880 ,"  8,548 ",  367 ,  69 ,  436 ,"  8,984 "
01,Alachua,0101,W. A. METCALFE ELEMENTARY SCHOOL                                                                    ,"  11,703 ","  1,537 ","  13,240 ",  424 ,  68 ,  492 ,"  13,732 "
01,Alachua,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL                                                                   ,"  6,542 ",  668 ,"  7,210 ",  303 ,  54 ,  357 ,"  7,567 "
01,Alachua,0161,ALACHUA ELEMENTARY SCHOOL                                                                           ,"  8,543 ",  879 ,"  9,422 ",  403 ,  66 ,  469 ,"  9,891 "
01,Alachua,0171,ARCHER ELEMENTARY                                                                                   ,"  7,299 ",  561 ,"  7,860 ",  349 ,  53 ,  402 ,"  8,262 "
01,Alachua,0281,CHESTER SHELL ELEMENTARY SCHOOL                                                                     ,"  8,670 ",  982 ,"  9,652 ",  356 ,  65 ,  421 ,"  10,073 "
01,Alachua,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL                                                                  ,"  7,641 ","  1,080 ","  8,721 ",  399 ,  61 ,  460 ,"  9,181 "
01,Alachua,0321,IDYLWILD ELEMENTARY SCHOOL                                                                          ,"  8,055 ",  923 ,"  8,978 ",  374 ,  46 ,  420 ,"  9,398 "
01,Alachua,0331,GLEN SPRINGS ELEMENTARY SCHOOL                                                                      ,"  7,841 ",  648 ,"  8,489 ",  364 ,  50 ,  414 ,"  8,903 "
01,Alachua,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL                                                          ,"  11,112 ","  1,444 ","  12,556 ",  456 ,  79 ,  535 ,"  13,091 "
01,Alachua,0482,HIDDEN OAK ELEMENTARY SCHOOL                                                                        ,"  7,631 ",  449 ,"  8,080 ",  377 ,  60 ,  437 ,"  8,517 "
01,Alachua,0501,KIMBALL WILES ELEMENTARY SCHOOL                                                                     ,"  6,956 ",  400 ,"  7,356 ",  355 ,  53 ,  408 ,"  7,764 "
01,Alachua,0510,LAWTON M. CHILES ELEMENTARY SCHOOL                                                                  ,"  7,460 ",  397 ,"  7,857 ",  369 ,  62 ,  431 ,"  8,288 "
01,Alachua,0520,MEADOWBROOK ELEMENTARY SCHOOL                                                                       ,"  6,941 ",  464 ,"  7,405 ",  341 ,  57 ,  398 ,"  7,803 "
01,Alachua,0531,NEWBERRY ELEMENTARY SCHOOL                                                                          ,"  7,084 ",  687 ,"  7,771 ",  345 ,  58 ,  403 ,"  8,174 "
01,Alachua,0541,C. W. NORTON ELEMENTARY SCHOOL                                                                      ,"  7,637 ",  529 ,"  8,166 ",  384 ,  62 ,  446 ,"  8,612 "
01,Alachua,0561,WILLIAM S. TALBOT ELEM SCHOOL                                                                       ,"  7,220 ",  193 ,"  7,413 ",  329 ,  60 ,  389 ,"  7,802 "
01,Alachua,0571,W. W. IRBY ELEMENTARY SCHOOL                                                                        ,"  9,280 ",  802 ,"  10,082 ",  436 ,  70 ,  506 ,"  10,588 "
01,Alachua,0112,ABRAHAM LINCOLN MIDDLE SCHOOL                                                                       ,"  6,886 ",  162 ,"  7,048 ",  305 ,  63 ,  368 ,"  7,416 "
01,Alachua,0121,HOWARD W. BISHOP MIDDLE SCHOOL                                                                      ,"  7,268 ",  241 ,"  7,509 ",  309 ,  63 ,  372 ,"  7,881 "
01,Alachua,0141,WESTWOOD MIDDLE SCHOOL                                                                              ,"  6,802 ",  253 ,"  7,055 ",  273 ,  52 ,  325 ,"  7,380 "
01,Alachua,0221,A. L. MEBANE MIDDLE SCHOOL                                                                          ,"  7,665 ",  279 ,"  7,944 ",  294 ,  45 ,  339 ,"  8,283 "
01,Alachua,0481,FORT CLARKE MIDDLE SCHOOL                                                                           ,"  6,150 ",  207 ,"  6,357 ",  258 ,  43 ,  301 ,"  6,658 "
01,Alachua,0502,KANAPAHA MIDDLE SCHOOL                                                                              ,"  6,290 ",  246 ,"  6,536 ",  268 ,  46 ,  314 ,"  6,850 "
01,Alachua,0591,OAK VIEW MIDDLE SCHOOL                                                                              ,"  6,523 ",  246 ,"  6,769 ",  274 ,  52 ,  326 ,"  7,095 "
01,Alachua,0604,PACE                                                                                                ,"  5,666 ",  -   ,"  5,666 ",  65 ,  -   ,  65 ,"  5,731 "
01,Alachua,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE)                                                                 ,"  8,394 ",  -   ,"  8,394 ",  434 ,  -   ,  434 ,"  8,828 "
01,Alachua,0052,A.QUINN JONES CENTER                                                                                ,"  32,767 ","  2,194 ","  34,961 ","  1,024 ",  251 ,"  1,275 ","  36,236 "
01,Alachua,0151,GAINESVILLE HIGH SCHOOL                                                                             ,"  5,621 ",  333 ,"  5,954 ",  225 ,  29 ,  254 ,"  6,208 "
01,Alachua,0201,HAWTHORNE MIDDLE/HIGH SCHOOL                                                                        ,"  6,956 ",  793 ,"  7,749 ",  230 ,  39 ,  269 ,"  8,018 "
01,Alachua,0261,NEWBERRY HIGH SCHOOL                                                                                ,"  6,886 ",  346 ,"  7,232 ",  235 ,  31 ,  266 ,"  7,498 "
01,Alachua,0271,SANTA FE HIGH SCHOOL                                                                                ,"  5,923 ",  273 ,"  6,196 ",  232 ,  30 ,  262 ,"  6,458 "
01,Alachua,0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL                                                   ,"  9,504 ",  292 ,"  9,796 ",  308 ,  43 ,  351 ,"  10,147 "
01,Alachua,0421,EASTSIDE HIGH SCHOOL                                                                                ,"  7,668 ",  264 ,"  7,932 ",  274 ,  37 ,  311 ,"  8,243 "
01,Alachua,0431,F. W. BUCHHOLZ HIGH SCHOOL                                                                          ,"  5,837 ",  314 ,"  6,151 ",  204 ,  25 ,  229 ,"  6,380 "
01,Alachua,0081,SIDNEY LANIER CENTER                                                                                ,"  23,135 ","  3,854 ","  26,989 ",  904 ,  305 ,"  1,209 ","  28,198 "
01,Alachua,0461,HIGH SPRINGS COMMUNITY SCHOOL                                                                       ,"  7,270 ",  248 ,"  7,518 ",  333 ,  51 ,  384 ,"  7,902 "
01,Alachua,0950,THE ONE ROOM SCHOOL HOUSE PROJECT                                                                   ,"  6,556 ",  854 ,"  7,410 ",  -   ,  -   ,  -   ,"  7,410 "
01,Alachua,0951,"MICANOPY AREA COOPERATIVE SCHOOL, INC.                                                              ","  4,942 ","  1,236 ","  6,178 ",  -   ,  -   ,  -   ,"  6,178 "
