District,School,prop,,
3,241,1,,
3,281,1,,
5,89,1,,
5,1028,1,,
5,1029,1,,
6,871,1,,
6,1021,1,,
6,3222,1,,
8,42,1,,
13,921,1,,
13,1070,1,,
13,8151,1,,
13,8181,1,,
16,281,1,,
16,1641,1,,
16,1701,1,,
16,2521,1,,
17,922,1,,
17,924,1,,
20,9106,1,,
29,63,1,,
29,1202,1,,
29,2541,1,,
29,2972,1,,
29,3782,1,,
29,4002,1,,
29,4321,1,,
29,6609,1,,
29,6639,1,,
29,7672,1,,
31,131,1,,
32,202,1,,
35,533,1,,
36,651,1,,
36,701,1,,
36,9450,1,,
37,452,1,,
41,2011,1,,
42,471,1,,
43,70,1,,
46,241,1,,
46,801,1,,
48,11,1,,
48,32,1,,
48,55,1,,
48,142,1,,
48,177,1,,
48,183,1,,
48,591,1,,
50,2411,1,,
50,2521,1,,
50,3083,1,,
50,3391,1,,
50,3400,1,,
50,4100,1,,
51,4328,1,,
52,681,1,,
52,1801,1,,
52,2581,1,,
52,3231,1,,
53,92,1,,
53,661,1,,
53,962,1,,
54,321,1,,
55,61,1,,
58,293,1,,
59,281,1,,
59,311,1,,
64,9850,1,,
67,123,1,,
50,2941,0.9969879518,,
52,7081,0.9949748744,,
37,411,0.9941860465,,
48,1561,0.9927536232,,
9,201,0.9916666667,,
16,1811,0.9902912621,,
53,9003,0.9900990099,,
53,8143,0.98828125,,
50,1801,0.9870466321,,
3,531,0.9787234043,,
57,9060,0.9756097561,,
29,4562,0.967032967,,
13,9732,0.9656992084,,
53,1381,0.9527272727,,
42,9731,0.9509803922,,
53,8008,0.9144385027,,
6,991,0.8918918919,,
35,536,0.8852459016,,
48,65,0.8848484848,,
1,81,0.8674698795,,
6,1752,0.8666666667,,
35,9010,0.8658536585,,
48,31,0.84,,
41,2056,0.796875,,
59,9228,0.7391304348,,
16,271,0.6942675159,,
1,955,0.6851851852,,
48,68,0.68,,
49,900,0.6779661017,,
51,2102,0.6461538462,,
48,90,0.6198630137,,
48,70,0.6118421053,,
12,221,0.575,,
67,152,0.4565217391,,
60,3001,0.4375,,
65,21,0.4107142857,,
13,441,0.4103671706,,
55,421,0.4035087719,,
17,602,0.4022727273,,
16,911,0.3870192308,,
16,781,0.3766666667,,
29,5056,0.375,,
29,5052,0.3666666667,,
29,5062,0.3636363636,,
30,471,0.3636363636,,
19,101,0.3625,,
16,1761,0.3571428571,,
67,6911,0.34375,,
6,2123,0.3411764706,,
50,3006,0.3404255319,,
9,8001,0.3292682927,,
17,211,0.328125,,
29,4155,0.3228346457,,
29,4154,0.3155080214,,
47,9101,0.313253012,,
55,32,0.3125,,
48,441,0.5483870968,,
43,294,0.5176470588,,
25,81,0.4761904762,,
13,7840,0.4615384615,,
50,3046,0.4310344828,,
14,291,0.4285714286,,
64,9870,0.4146341463,,
50,3101,0.4107142857,,
52,3341,0.375,,
29,5371,1,,
