District Name,School Name,Lat,Long,Total Students,Total SWD,e,s,m,sc,te,ts,tm,tsc
ALACHUA,A. L. MEBANE MIDDLE SCHOOL,29.80495,-82.49294,363,43,4,2,4,1,174,73,166,41
ALACHUA,EASTSIDE HIGH SCHOOL,29.63991,-82.26866,1323,174,14,8,9,5,322,178,125,185
ALACHUA,F. W. BUCHHOLZ HIGH SCHOOL,29.67867,-82.40159,2286,214,23,21,24,25,765,353,400,431
ALACHUA,FORT CLARKE MIDDLE SCHOOL,29.67324,-82.44191,1029,138,18,12,22,4,535,208,556,192
ALACHUA,GAINESVILLE HIGH SCHOOL,29.66946,-82.34108,1888,206,11,10,10,9,495,275,252,276
ALACHUA,HAWTHORNE MIDDLE/HIGH SCHOOL,29.59066,-82.09257,354,72,13,7,10,5,79,51,90,26
ALACHUA,HIGH SPRINGS COMMUNITY SCHOOL,29.83440,-82.59042,956,124,26,8,26,11,389,92,422,132
ALACHUA,HOWARD W. BISHOP MIDDLE SCHOOL,29.66905,-82.31252,692,80,11,4,11,5,375,138,375,118
ALACHUA,KANAPAHA MIDDLE SCHOOL,29.60709,-82.42023,1056,127,18,7,21,6,559,252,630,159
ALACHUA,NEWBERRY HIGH SCHOOL,29.64327,-82.61452,653,84,7,11,10,0,172,106,102,101
ALACHUA,OAK VIEW MIDDLE SCHOOL,29.63680,-82.60563,899,101,21,8,19,11,546,193,539,213
ALACHUA,SANTA FE HIGH SCHOOL,29.80726,-82.52440,1086,112,6,9,7,7,250,145,189,110
ALACHUA,WESTWOOD MIDDLE SCHOOL,29.66540,-82.37057,1093,167,27,26,24,6,538,235,553,179
BAKER,BAKER COUNTY MIDDLE SCHOOL,30.27537,-82.11890,1195,132,34,19,42,11,557,271,645,188
BAKER,BAKER COUNTY SENIOR HIGH SCHOOL,30.27952,-82.15473,1385,139,18,15,25,13,341,222,289,241
BAY,A. CRAWFORD MOSLEY HIGH SCHOOL,30.20851,-85.64328,1802,176,18,29,20,9,485,327,330,311
BAY,BAY HIGH SCHOOL,30.16973,-85.66020,1223,182,27,8,24,7,249,146,159,115
BAY,BREAKFAST POINT ACADEMY,30.18771,-85.82171,1143,218,30,11,51,11,402,116,450,139
BAY,DEANE BOZEMAN SCHOOL,30.39392,-85.68657,1265,290,76,37,69,25,457,230,456,156
BAY,EVERITT MIDDLE SCHOOL,30.15935,-85.61548,689,158,31,17,30,10,205,102,188,63
BAY,J.R. ARNOLD HIGH SCHOOL,30.20388,-85.81375,1674,229,22,16,17,35,384,187,276,239
BAY,JINKS MIDDLE SCHOOL,30.16973,-85.66831,558,138,15,11,18,4,113,51,125,34
BAY,MERRITT BROWN MIDDLE SCHOOL,30.24198,-85.56203,762,181,31,21,41,10,246,126,245,74
BAY,MOWAT MIDDLE SCHOOL,30.22788,-85.65569,1097,163,35,28,34,6,502,252,516,145
BAY,RUTHERFORD HIGH SCHOOL,30.16599,-85.61506,1004,156,7,14,12,1,132,107,102,65
BAY,SURFSIDE MIDDLE SCHOOL,30.20867,-85.85231,755,116,34,20,43,13,429,163,467,144
BRADFORD,BRADFORD HIGH SCHOOL,29.94995,-82.10947,787,145,9,16,6,7,136,119,95,93
BRADFORD,BRADFORD MIDDLE SCHOOL,29.95038,-82.11512,667,150,17,9,31,6,255,104,322,73
BREVARD,ANDREW JACKSON MIDDLE SCHOOL,28.56947,-80.82068,549,97,22,23,23,9,300,213,336,117
BREVARD,ASTRONAUT HIGH SCHOOL,28.62483,-80.85078,1074,161,15,12,11,10,240,144,106,124
BREVARD,BAYSIDE HIGH SCHOOL,27.95104,-80.67620,1706,256,23,15,25,30,420,209,263,249
BREVARD,CENTRAL MIDDLE SCHOOL,28.06242,-80.66336,1193,218,37,41,48,10,602,400,656,257
BREVARD,COCOA BEACH JUNIOR/SENIOR HIGH SCHOOL,28.31800,-80.63060,1013,95,27,16,21,15,444,254,309,218
BREVARD,COCOA HIGH SCHOOL,28.38432,-80.76925,1576,317,23,20,41,26,348,218,317,257
BREVARD,DELAURA MIDDLE SCHOOL,28.18335,-80.59711,819,94,21,29,39,9,608,364,695,270
BREVARD,EAU GALLIE HIGH SCHOOL,28.13093,-80.64773,1676,297,23,32,27,24,408,265,225,259
BREVARD,HERBERT C. HOOVER MIDDLE SCHOOL,28.10204,-80.57427,506,78,27,20,22,10,319,189,341,145
BREVARD,HERITAGE HIGH SCHOOL,27.99893,-80.74416,1830,264,20,15,18,19,455,249,295,279
BREVARD,JAMES MADISON MIDDLE SCHOOL,28.63528,-80.84916,495,96,18,19,17,5,172,165,229,91
BREVARD,JOHN F. KENNEDY MIDDLE SCHOOL,28.32521,-80.74155,611,108,19,16,25,6,372,207,424,173
BREVARD,LYNDON B. JOHNSON MIDDLE SCHOOL,28.14225,-80.65395,736,123,24,18,32,12,396,218,461,177
BREVARD,MELBOURNE SENIOR HIGH SCHOOL,28.09072,-80.61965,2113,218,27,28,18,25,649,284,333,419
BREVARD,MERRITT ISLAND HIGH SCHOOL,28.37613,-80.69876,1539,205,25,9,24,9,427,236,207,239
BREVARD,PALM BAY MAGNET SENIOR HIGH SCHOOL,28.04839,-80.61777,1543,280,16,15,12,22,280,210,169,200
BREVARD,ROCKLEDGE SENIOR HIGH SCHOOL,28.34080,-80.72595,1516,220,23,17,12,25,410,231,210,284
BREVARD,RONALD MCNAIR MAGNET MIDDLE SCHOOL,28.34749,-80.73741,479,87,17,23,18,7,267,193,262,89
BREVARD,SATELLITE SENIOR HIGH SCHOOL,28.18686,-80.59703,1327,141,20,21,21,26,418,243,287,260
BREVARD,SOUTHWEST MIDDLE SCHOOL,27.99032,-80.65978,833,174,30,20,32,16,389,239,413,166
BREVARD,SPACE COAST JUNIOR/SENIOR HIGH SCHOOL,28.47643,-80.82830,1586,256,28,32,49,18,549,323,547,284
BREVARD,STONE MAGNET MIDDLE SCHOOL,28.06188,-80.60284,791,140,29,26,30,12,353,227,351,143
BREVARD,THOMAS JEFFERSON MIDDLE SCHOOL,28.33361,-80.68615,660,115,25,24,36,9,392,242,443,182
BREVARD,TITUSVILLE HIGH SCHOOL,28.59129,-80.80363,1381,180,18,13,10,15,365,243,172,209
BREVARD,VIERA HIGH SCHOOL,28.25246,-80.73511,2157,203,33,27,26,30,809,407,438,448
BROWARD,ANNABEL C. PERRY PK-8,25.97892,-80.22510,733,146,15,1,13,2,193,38,200,47
BROWARD,APOLLO MIDDLE SCHOOL,26.02022,-80.22585,1399,213,58,31,56,16,670,246,664,207
BROWARD,ATTUCKS MIDDLE SCHOOL,26.04414,-80.15381,806,126,36,16,31,8,339,161,337,99
BROWARD,BAIR MIDDLE SCHOOL,26.15121,-80.27037,902,146,33,23,39,12,395,196,424,116
BROWARD,BEACHSIDE MONTESSORI VILLAGE,26.01676,-80.15225,787,97,58,10,55,19,434,86,439,144
BROWARD,BLANCHE ELY HIGH SCHOOL,26.24206,-80.13342,2036,200,11,10,12,11,331,262,126,173
BROWARD,BOYD H. ANDERSON HIGH SCHOOL,26.17795,-80.18573,1712,221,19,12,15,12,184,99,134,111
BROWARD,CHARLES W FLANAGAN HIGH SCHOOL,26.02064,-80.32237,2519,248,34,27,39,23,693,406,536,325
BROWARD,COCONUT CREEK HIGH SCHOOL,26.24653,-80.18294,1524,224,21,21,18,17,216,234,186,138
BROWARD,COOPER CITY HIGH SCHOOL,26.04626,-80.27337,2341,283,48,32,53,40,791,425,616,390
BROWARD,CORAL GLADES HIGH SCHOOL,26.26348,-80.29482,2454,320,39,34,21,22,630,378,419,272
BROWARD,CORAL SPRINGS HIGH SCHOOL,26.27416,-80.22095,2811,340,35,22,34,28,571,408,438,280
BROWARD,CORAL SPRINGS MIDDLE SCHOOL,26.28631,-80.26449,1155,177,37,37,40,12,689,324,682,188
BROWARD,CORAL SPRINGS PK-8,26.27457,-80.27151,693,170,10,2,12,1,131,12,138,23
BROWARD,CRYSTAL LAKE MIDDLE SCHOOL,26.27269,-80.11840,1413,156,24,17,19,8,528,252,459,137
BROWARD,CYPRESS BAY HIGH SCHOOL,26.06551,-80.39752,4797,322,68,50,68,32,1852,822,1378,809
BROWARD,DEERFIELD BEACH HIGH SCHOOL,26.29539,-80.11761,2439,298,26,25,15,21,434,305,272,261
BROWARD,DEERFIELD BEACH MIDDLE SCHOOL,26.31024,-80.09711,1176,203,44,22,43,15,460,176,468,152
BROWARD,DILLARD  6-12,26.13961,-80.17692,2258,260,22,14,36,19,424,276,355,218
BROWARD,DRIFTWOOD MIDDLE SCHOOL,26.03617,-80.22835,1384,256,52,27,42,19,714,334,645,196
BROWARD,EVERGLADES HIGH SCHOOL,25.96896,-80.37332,2338,275,48,26,38,30,645,457,395,375
BROWARD,FALCON COVE MIDDLE SCHOOL,26.06340,-80.39618,2299,178,77,35,80,12,1800,611,1823,528
BROWARD,FOREST GLEN MIDDLE SCHOOL,26.28523,-80.21426,1354,220,47,39,57,8,761,281,761,201
BROWARD,FORT LAUDERDALE HIGH SCHOOL,26.14945,-80.13924,2133,201,39,20,36,21,713,329,455,357
BROWARD,GLADES MIDDLE SCHOOL,25.96928,-80.36821,1392,197,52,40,58,15,875,397,879,226
BROWARD,GULFSTREAM ACADEMY OF HALLANDALE BEACH,25.98134,-80.16176,1591,218,27,18,35,6,441,119,481,134
BROWARD,HALLANDALE HIGH SCHOOL,25.99334,-80.16257,1233,151,12,5,10,10,159,129,116,96
BROWARD,HOLLYWOOD HILLS HIGH SCHOOL,26.04613,-80.19834,1912,253,24,17,20,11,392,221,241,129
BROWARD,INDIAN RIDGE MIDDLE SCHOOL,26.10352,-80.28396,1985,322,90,64,111,28,1281,526,1404,387
BROWARD,J. P. TARAVELLA HIGH SCHOOL,26.23235,-80.26791,3107,356,29,32,34,34,632,559,432,414
BROWARD,JAMES S. RICKARDS MIDDLE SCHOOL,26.20173,-80.13428,888,155,27,15,23,7,351,195,338,94
BROWARD,LAUDERDALE LAKES MIDDLE SCHOOL,26.17480,-80.18382,866,130,21,16,24,4,252,146,323,111
BROWARD,LAUDERHILL 6-12,26.15000,-80.21736,864,124,14,8,11,3,225,149,179,65
BROWARD,LYONS CREEK MIDDLE SCHOOL,26.31086,-80.18162,1952,258,43,42,69,17,1074,540,1242,331
BROWARD,MARGATE MIDDLE SCHOOL,26.23642,-80.21105,1211,200,39,26,49,15,535,225,502,160
BROWARD,MARJORY STONEMAN DOUGLAS HIGH SCHOOL,26.30450,-80.26946,3303,312,48,47,38,36,1134,486,691,583
BROWARD,MCARTHUR HIGH SCHOOL,26.01189,-80.21620,2069,304,27,21,27,20,370,288,269,162
BROWARD,MCNICOL MIDDLE SCHOOL,25.99693,-80.16171,743,112,19,16,19,9,250,162,279,88
BROWARD,MILLENNIUM 6-12 COLLEGIATE ACADEMY,26.19669,-80.27795,1639,200,39,28,32,3,847,352,791,210
BROWARD,MIRAMAR HIGH SCHOOL,25.97595,-80.26063,2415,267,19,22,24,7,404,341,241,215
BROWARD,MONARCH HIGH SCHOOL,26.28503,-80.19303,2443,320,42,30,36,33,613,360,391,319
BROWARD,NEW RENAISSANCE MIDDLE SCHOOL,25.98800,-80.28847,1193,187,25,24,27,4,431,212,460,122
BROWARD,NEW RIVER MIDDLE SCHOOL,26.09048,-80.18633,1591,226,42,20,43,8,674,289,723,197
BROWARD,NORTH LAUDERDALE PK-8,26.21623,-80.22642,785,102,5,1,13,1,100,9,169,30
BROWARD,NORTHEAST HIGH SCHOOL,26.19556,-80.13743,1672,225,22,18,14,19,253,183,142,189
BROWARD,NOVA HIGH SCHOOL,26.07554,-80.23783,2222,184,21,26,16,17,783,426,557,334
BROWARD,NOVA MIDDLE SCHOOL,26.07589,-80.23778,1292,155,38,15,40,13,793,299,794,229
BROWARD,OLSEN MIDDLE SCHOOL,26.03644,-80.13894,665,117,28,11,29,9,185,79,213,68
BROWARD,PARKWAY MIDDLE SCHOOL,26.12670,-80.19624,1488,167,32,14,37,7,535,204,541,183
BROWARD,PINES MIDDLE SCHOOL,26.01158,-80.26635,846,132,19,8,13,9,356,167,271,117
BROWARD,PIONEER MIDDLE SCHOOL,26.05086,-80.26774,1494,213,90,43,98,18,1075,427,1128,288
BROWARD,PIPER HIGH SCHOOL,26.17875,-80.25742,2411,279,29,13,23,23,367,266,258,275
BROWARD,PLANTATION HIGH SCHOOL,26.14511,-80.24087,2025,225,21,19,23,18,335,244,244,246
BROWARD,PLANTATION MIDDLE SCHOOL,26.13675,-80.23966,701,93,21,5,17,3,291,115,265,86
BROWARD,POMPANO BEACH MIDDLE SCHOOL,26.23615,-80.12056,1078,145,32,9,30,10,451,185,459,130
BROWARD,RAMBLEWOOD MIDDLE SCHOOL,26.23703,-80.23866,1239,201,64,54,64,18,695,354,731,212
BROWARD,SAWGRASS SPRINGS MIDDLE SCHOOL,26.27151,-80.29446,1202,187,35,26,59,9,639,251,759,220
BROWARD,SEMINOLE MIDDLE SCHOOL,26.10132,-80.23203,1122,209,49,26,48,12,638,249,617,189
BROWARD,SILVER LAKES MIDDLE SCHOOL,26.21391,-80.22725,700,127,27,21,37,5,237,89,250,72
BROWARD,SILVER TRAIL MIDDLE SCHOOL,26.02829,-80.39137,1467,263,102,47,105,22,1044,404,1099,287
BROWARD,SOUTH BROWARD HIGH SCHOOL,26.02924,-80.14098,2316,239,26,13,16,26,573,360,287,223
BROWARD,SOUTH PLANTATION HIGH SCHOOL,26.10242,-80.22126,2262,300,36,23,40,19,529,310,282,242
BROWARD,STRANAHAN HIGH SCHOOL,26.11402,-80.16592,1403,156,10,12,11,5,242,117,155,127
BROWARD,SUNRISE MIDDLE SCHOOL,26.14372,-80.12337,1341,178,47,20,54,12,730,290,722,165
BROWARD,TEQUESTA TRACE MIDDLE SCHOOL,26.10581,-80.39303,1615,213,71,38,81,23,1131,401,1186,355
BROWARD,WALTER C. YOUNG MIDDLE SCHOOL,26.01401,-80.32170,1113,169,45,30,45,13,678,268,664,221
BROWARD,WEST BROWARD HIGH SCHOOL,26.01214,-80.43036,2682,305,59,44,53,34,910,526,612,508
BROWARD,WESTERN HIGH SCHOOL,26.10420,-80.32806,3384,403,73,51,73,56,1046,590,722,500
BROWARD,WESTGLADES MIDDLE SCHOOL,26.30461,-80.27333,1794,179,64,39,76,23,1333,525,1416,436
BROWARD,WESTPINE MIDDLE SCHOOL,26.18742,-80.27401,1024,147,34,27,44,11,467,217,485,134
BROWARD,WILLIAM DANDY MIDDLE SCHOOL,26.15713,-80.17573,967,125,21,10,20,7,333,173,341,134
CALHOUN,ALTHA PUBLIC SCHOOL,30.57368,-85.12622,635,115,19,10,18,11,215,68,196,89
CALHOUN,BLOUNTSTOWN MIDDLE SCHOOL,30.44850,-85.04655,314,67,19,14,24,7,182,83,202,53
CHARLOTTE,CHARLOTTE HIGH SCHOOL,26.92846,-82.03747,1929,296,34,41,37,30,446,359,334,305
CHARLOTTE,L. A. AINGER MIDDLE SCHOOL,26.91374,-82.28714,603,114,32,24,46,9,336,179,405,112
CHARLOTTE,LEMON BAY HIGH SCHOOL,26.92648,-82.33161,1085,154,26,23,34,21,321,182,274,208
CHARLOTTE,MURDOCK MIDDLE SCHOOL,27.00260,-82.16259,683,146,35,22,28,11,315,143,292,136
CHARLOTTE,PORT CHARLOTTE HIGH SCHOOL,27.00517,-82.15114,1680,318,35,29,30,27,328,243,236,227
CHARLOTTE,PORT CHARLOTTE MIDDLE SCHOOL,27.00043,-82.07628,826,208,65,54,100,24,417,234,533,155
CHARLOTTE,PUNTA GORDA MIDDLE SCHOOL,26.92855,-82.03436,1169,232,44,40,61,12,527,308,661,190
