District,School,School Name,prop,funds
01,0031,J. J. FINLEY ELEMENTARY SCHOOL,0.12372634643377002,8754
01,0041,STEPHEN FOSTER ELEMENTARY SCHOOL,0.14471243042671614,9409
01,0052,A. QUINN JONES CENTER,0.6385542168674698,36236
01,0071,LAKE FOREST ELEMENTARY SCHOOL,0.16666666666666666,10467
01,0091,LITTLEWOOD ELEMENTARY SCHOOL,0.17422096317280453,8984
01,0101,W. A. METCALFE ELEMENTARY SCHOOL,0.23333333333333334,13732
01,0111,JOSEPH WILLIAMS ELEMENTARY SCHOOL,0.07381370826010544,7567
01,0112,ABRAHAM LINCOLN MIDDLE SCHOOL,0.08964451313755796,7416
01,0121,HOWARD W. BISHOP MIDDLE SCHOOL,0.11560693641618497,7881
01,0141,WESTWOOD MIDDLE SCHOOL,0.15279048490393413,7380
01,0151,GAINESVILLE HIGH SCHOOL,0.10911016949152542,6208
01,0161,ALACHUA ELEMENTARY SCHOOL,0.18562874251497005,9891
01,0171,ARCHER ELEMENTARY,0.09908256880733946,8262
01,0201,HAWTHORNE MIDDLE/HIGH SCHOOL,0.2033898305084746,8018
01,0221,A. L. MEBANE MIDDLE SCHOOL,0.1184573002754821,8283
01,0261,NEWBERRY HIGH SCHOOL,0.12863705972434916,7498
01,0271,SANTA FE HIGH SCHOOL,0.10313075506445672,6458
01,0281,CHESTER SHELL ELEMENTARY SCHOOL,0.1780821917808219,10073
01,0311,MYRA TERWILLIGER ELEMENTARY SCHOOL,0.14336917562724014,9181
01,0321,IDYLWILD ELEMENTARY SCHOOL,0.14264919941775836,9398
01,0331,GLEN SPRINGS ELEMENTARY SCHOOL,0.10121457489878542,8903
01,0341,MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL,0.22530864197530864,13091
01,0411,PROFESSIONAL ACADEMY MAGNET AT LOFTEN HIGH SCHOOL,0.15151515151515152,10147
01,0421,EASTSIDE HIGH SCHOOL,0.13151927437641722,8243
01,0431,F. W. BUCHHOLZ HIGH SCHOOL,0.09361329833770779,6380
01,0461,HIGH SPRINGS COMMUNITY SCHOOL,0.1297071129707113,7902
01,0481,FORT CLARKE MIDDLE SCHOOL,0.13411078717201166,6658
01,0482,HIDDEN OAK ELEMENTARY SCHOOL,0.12355212355212356,8517
01,0501,KIMBALL WILES ELEMENTARY SCHOOL,0.07643312101910828,7764
01,0502,KANAPAHA MIDDLE SCHOOL,0.12026515151515152,6850
01,0510,LAWTON M. CHILES ELEMENTARY SCHOOL,0.10440251572327044,8288
01,0520,MEADOWBROOK ELEMENTARY SCHOOL,0.09615384615384616,7803
01,0531,NEWBERRY ELEMENTARY SCHOOL,0.17061611374407584,8174
01,0541,C. W. NORTON ELEMENTARY SCHOOL,0.1572052401746725,8612
01,0561,WILLIAM S. TALBOT ELEM SCHOOL,0.12303664921465969,7802
01,0571,W. W. IRBY ELEMENTARY SCHOOL,0.17592592592592593,10588
01,0591,OAK VIEW MIDDLE SCHOOL,0.11234705228031146,7095
01,0604,PACE,0.21568627450980393,5731
01,7004,ALACHUA ESCHOOL (VIRTUAL FRANCHISE),0.0,8828
01,7023,ALACHUA VIRTUAL INSTRUCTION PROGRAM (DISTRICT PROVIDED),0.0
02,0012,BAKER COUNTY SENIOR HIGH SCHOOL,0.1003610108303249
02,0013,MACCLENNY ELEMENTARY SCHOOL,0.14189189189189189,8605
02,0022,PREK/KINDERGARTEN CENTER,0.16545454545454547,7786
02,0031,J FRANKLYN KELLER INTERMEDIATE SCHOOL,0.16384915474642392,6243
02,0032,BAKER COUNTY MIDDLE SCHOOL,0.11046025104602511,6936
02,0091,WESTSIDE ELEMENTARY SCHOOL,0.1704745166959578,8992
03,0061,BAY HIGH SCHOOL,0.14881439084219134,7254
03,0071,MERRITT BROWN MIDDLE SCHOOL,0.23753280839895013,7370
03,0081,HUTCHISON BEACH ELEMENTARY SCHOOL,0.172859450726979,7505
